TOTALFILES: 6
1	./xmlrole.c	4041
2	./before.c	1106
3	./http_core.c	11986
4	./http_main.c	27300
5	./mod_proxy.c	3779
6	./after.c	1108
TOTALCLONES: 150
./xmlrole.c                             	     0	   164	    82	   137    88     5    99     3   2633   2945
./xmlrole.c                             	     0	   164	   198	   253   116     5   127     3   3240   3552
./xmlrole.c                             	     0	    47	   338	   405   152     1   170     1   3987   4338
./xmlrole.c                             	     0	    35	   530	   594   200     1   217     1   5025   5354
./xmlrole.c                             	     0	    55	   530	   658   200     1   234     1   5025   5683
./xmlrole.c                             	     0	    35	   594	   658   217     1   234     1   5354   5683
./xmlrole.c                             	     0	    24	   598	   657   217    13   231     2   5366   5674
./xmlrole.c                             	     0	    33	   658	   734   234     1   254     1   5683   6102
./xmlrole.c                             	     0	    35	   734	   798   254     1   271     1   6102   6429
./xmlrole.c                             	     0	   120	   846	   904   281     8   293     5   6656   6977
./xmlrole.c                             	     0	   121	   846	   934   281     8   299     5   6656   7140
./xmlrole.c                             	     0	   121	   876	   964   287     8   305     5   6817   7305
./xmlrole.c                             	     0	   120	   906	   964   293     8   305     5   6980   7305
./xmlrole.c                             	     0	    33	  1006	  1082   319     1   339     1   7582   7984
./xmlrole.c                             	     0	    35	  1082	  1146   339     1   356     1   7984   8304
./xmlrole.c                             	     0	    60	  1082	  1237   339     1   375     3   7984   8759
./xmlrole.c                             	     0	    71	  1146	  1323   356     1   401     1   8304   9213
./xmlrole.c                             	     0	    70	  1183	  1237   364     5   375     3   8469   8759
./xmlrole.c                             	     0	    35	  1259	  1323   383     1   401     1   8890   9213
./xmlrole.c                             	     0	    55	  1259	  1387   383     1   418     1   8890   9535
./xmlrole.c                             	     0	    35	  1323	  1387   401     1   418     1   9213   9535
./xmlrole.c                             	     0	    35	  1478	  1542   441     1   458     1  10003  10328
./xmlrole.c                             	     0	    60	  1478	  1633   441     1   477     3  10003  10783
./xmlrole.c                             	     0	    71	  1542	  1719   458     1   502     1  10328  11236
./xmlrole.c                             	     0	    70	  1579	  1633   466     5   477     3  10493  10783
./xmlrole.c                             	     0	    35	  1655	  1719   485     1   502     1  10914  11236
./xmlrole.c                             	     0	    55	  1655	  1783   485     1   519     1  10914  11560
./xmlrole.c                             	     0	    35	  1719	  1783   502     1   519     1  11236  11560
./xmlrole.c                             	     0	    35	  1783	  1847   519     1   536     1  11560  11888
./xmlrole.c                             	     0	    70	  1884	  1938   544     5   555     3  12063  12357
./xmlrole.c                             	     0	    35	  1948	  2012   560     1   577     1  12398  12734
./xmlrole.c                             	     0	    35	  2012	  2076   577     1   594     1  12734  13070
./xmlrole.c                             	     0	    47	  2152	  2219   614     1   632     1  13513  13872
./xmlrole.c                             	     0	    75	  2532	  2608   713     1   733     1  15568  15964
./xmlrole.c                             	     0	    34	  2608	  2672   733     1   751     1  15964  16284
./xmlrole.c                             	     0	    35	  2672	  2736   751     1   768     1  16284  16617
./xmlrole.c                             	     0	    24	  2676	  2735   751    13   765     2  16296  16608
./xmlrole.c                             	     0	    75	  2736	  2812   768     1   789     1  16617  17033
./xmlrole.c                             	     0	    35	  2965	  3029   826     1   843     1  17921  18254
./xmlrole.c                             	     0	    47	  3029	  3096   843     1   861     1  18254  18605
./xmlrole.c                             	     0	    47	  3444	  3511   949     1   967     1  20654  21008
./xmlrole.c                             	     0	   386	  3747	  3819  1027     5  1041     3  22388  22819
./xmlrole.c                             	     0	   386	  3772	  3844  1032     5  1046     3  22542  22974
./xmlrole.c                             	     0	    34	  3878	  3942  1057     1  1076     1  23188  23525
./before.c                              	     1	   215	     2	   511    87    13   199     8   3566   6831
./before.c                              	     1	   177	   558	   648   208     8   223     5   7081   7526
./before.c                              	     1	   141	   703	  1105   234     8   335     1   7801  10638
./before.c                              	     1	   131	   717	  1017   237     5   286     4   7872   9091
./http_core.c                           	     2	   500	   668	   718   228    57   237     5   8243   8483
./http_core.c                           	     2	   500	   689	   739   231    37   242     5   8336   8607
./http_core.c                           	     2	   230	  1064	  1115   309    12   318     1  10529  10784
./http_core.c                           	     2	   230	  1117	  1168   318    12   327     8  10795  11061
./http_core.c                           	     2	   106	  1585	  1665   445    17   463    26  14653  15085
./http_core.c                           	     2	   106	  1625	  1705   454    26   472    26  14872  15298
./http_core.c                           	     2	   226	  2998	  3079   784     8   800     8  24266  24690
./http_core.c                           	     2	   226	  3079	  3160   800     8   816     8  24690  25114
./http_core.c                           	     2	   391	  3746	  3803   939     7   948     2  28572  28782
./http_core.c                           	     2	   391	  4082	  4139   997     7  1008     2  29839  30094
./http_core.c                           	     2	   280	  4936	  5089  1181     8  1206    79  34468  35363
./http_core.c                           	     2	   232	  5027	  5089  1195    33  1206    79  35025  35363
./http_core.c                           	     2	   115	  5172	  5270  1225    25  1245    49  35781  36286
./http_core.c                           	     2	   232	  5353	  5415  1259    33  1270    79  36786  37126
./http_core.c                           	     2	   115	  5518	  5616  1292    25  1311    49  37694  38188
./http_core.c                           	     2	   280	  5633	  5786  1317     8  1343    23  38302  39195
./http_core.c                           	     2	   232	  5724	  5786  1331    33  1343    23  38854  39195
./http_core.c                           	     2	   428	  5957	  6059  1386    34  1405     5  40143  40529
./http_core.c                           	     2	   428	  6242	  6344  1444    38  1462     5  41252  41636
./http_core.c                           	     2	   300	  7633	  7693  1750     8  1761     8  49085  49349
./http_core.c                           	     2	   300	  7693	  7753  1761     8  1773     8  49349  49642
./http_core.c                           	     2	   300	  7839	  7899  1792     8  1803     8  50132  50411
./http_core.c                           	     2	   236	  7963	  8017  1817     8  1828     8  50740  50980
