"";"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"55";"Diallo, Abdoulaye Banire AB";"Department Informatique";"Quebec a Montreal";"RGPIN";"New algorithms for ancestral genome reconstruction, phylogenomic inference and genome analyses";"5";"$20,000.00";20000
"56";"Dickinson, Sven SJ";"Department Computer Science";"Toronto";"RGPIN";"Image abstraction";"5";"$43,000.00";43000
"57";"Ding, Chen (Cherie) C";"Department Computer Science";"Ryerson";"RGPIN";"QoS-based service selection";"5";"$15,000.00";15000
"58";"Dube, Danny D";"Department Informatique et de genie logiciel";"Laval";"RGPIN";"Improving the implementation of high-level languages";"5";"$15,000.00";15000
"59";"Dufour, Bruno B";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"Understanding the behaviour of framework-intensive applications using blend analysis";"5";"$20,000.00";20000
"60";"Duong, Luc LY";"Department Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Motion compensation for image-guided coronary intervention";"5";"$25,000.00";25000
"61";"Durocher, Stephane SJ";"Department Computer Science";"Manitoba";"RGPIN";"Geometric algorithms for wireless networks and mobile computing";"5";"$25,000.00";25000
"62";"Dymond, Patrick PW";"Department Computer Science and Engineering";"York";"RGPIN";"Complexity and parallel algorithms";"3";"$15,000.00";15000
"63";"Eck, Douglas DS";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"New machine learning methods for music: learning at multiple timescales";"5";"$43,000.00";43000
"64";"Elbiaze, Halima H";"Department Informatique";"Quebec a Montreal";"RGPIN";"Providing end-to-end quality of service in next generation networks";"5";"$25,000.00";25000
"65";"Ellen, Faith F";"Department Computer Science";"Toronto";"RGPIN";"The complexity of fundamental problems in distributed computing";"5";"$34,000.00";34000
"66";"Elmallah, Ehab ES";"Department Computing Science";"Alberta";"RGPIN";"Dependable services on wireless sensor networks";"5";"$25,000.00";25000
"67";"Ester, Martin M";"Department Computing Science";"Simon Fraser";"EQPEQ";"Computational infrastructure for data ming and bioinformatics group";"1";"$121,917.00";121917
"68";"Farmer, William WM";"Department Computing and Software";"McMaster";"RGPIN";"MathScheme: Integrating axiomatic and algorithmic mathematics";"5";"$31,000.00";31000
"69";"Feeley, Marc M";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"Dynamic languages: design, implementation and evaluation";"5";"$43,000.00";43000
"70";"Fernandez, Jose Manuel JM";"Department Genie informatique et genie logiciel";"Ecole Polytechnique";"EQPEQ";"Network security in electrical control networks";"1";"$43,919.00";43919
"71";"Ferworn, Alexander A";"Department Computer Science";"Ryerson";"RGPIN";"Canine augmentation technology";"5";"$31,000.00";31000
"72";"Fichtinger, Gabor G";"Department Computing, School of";"Queen's";"RGPIN";"Image-guided robotic needle-based surgery of soft tissues";"1";"$31,000.00";31000
"73";"Fleet, David DJ";"Department Computer Science";"Toronto";"RGPIN";"Video-based analysis of human motion";"5";"$51,000.00";51000
