"";"Name";"Department";"Institution";"Program";"Title";"Term";"a2";"amount"
"186";"Tahar, Sofiene SO";"Department Electrical and Computer Engineering";"Concordia";"RGPIN";"Formal verification of physical systems and devices";"5";"$51,000.00";51000
"187";"Tan, Lin L";"Department Electrical & Computer Engineering";"Waterloo";"RGPIN";"Leveraging software semantic information to improve software reliability";"5";"$20,000.00";20000
"188";"Tawbi, Nadia N";"Department Informatique et de genie logiciel";"Laval";"RGPIN";"Security policy enforcement mechanisms";"5";"$31,000.00";31000
"189";"Thulasiram, Ruppa RK";"Department Computer Science";"Manitoba";"RGPIN";"Advances in computational finance and its application in grid computing";"5";"$15,000.00";15000
"190";"Tompa, Frank FW";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Flexible, efficient text databases";"5";"$31,000.00";31000
"191";"Tourlakis, George G";"Department Computer Science and Engineering";"York";"RGPIN";"Calculational logic";"5";"$15,000.00";15000
"192";"Turksen, Burhan IB";"Department Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Computing with words for decision making under uncertainty";"5";"$20,000.00";20000
"193";"Van de Panne, Michiel M";"Department Computer Science";"British Columbia";"RGPIN";"Scalable physics-based modeling of skilled movement";"5";"$34,000.00";34000
"194";"Vangheluwe, Hans HLM";"Department Computer Science, School of";"McGill";"RGPIN";"Modelling and simulation based design";"5";"$31,000.00";31000
"195";"Vaughan, Richard RT";"Department Computing Science";"Simon Fraser";"RGPIN";"Energy efficient large scale multi-robot systems";"5";"$25,000.00";25000
"196";"Vuong, Son ST";"Department Computer Science";"British Columbia";"RGPIN";"IAMNET - An intelligent AMbient NETworks for the internet of things";"5";"$31,000.00";31000
"197";"Wagner, Alan Shelton AS";"Department Computer Science";"British Columbia";"RGPIN";"Data intensive parallel computing";"5";"$20,000.00";20000
"198";"Wainer, Gabriel GA";"Department Systems and Computer Engineering";"Carleton";"RGPIN";"Methodologies for real-time discrete-event simulation";"5";"$31,000.00";31000
"199";"Waldispuhl, Jerome J";"Department Computer Science, School of";"McGill";"RGPIN";"Algorithms for exploring the mutational landscape of RNA molecules";"5";"$25,000.00";25000
"200";"Wan, Justin JWL";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Numerical models and methods for cell image analysis";"5";"$25,000.00";25000
"201";"Wang, Fangju F";"Department Computing and Information Science";"Guelph";"RGPIN";"Disambiguation in natural language user interfaces of service robots";"5";"$15,000.00";15000
"202";"Wang, Shengrui S";"Department Informatique";"Sherbrooke";"RGPIN";"Mining high-dimensional data, sequences and data streams / Prospection de donnees de grande dimension, de sequences et de flux de donees";"5";"$43,000.00";43000
"203";"Wareham, Harold HT";"Department Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Parameterized complexity analysis in cognitive science";"5";"$15,000.00";15000
"204";"Wasserman, Wyeth WW";"Department Medical Genetics";"British Columbia";"RGPIN";"Computational analysis of regulatory DNA sequences controlling gene transcription";"5";"$35,700.00";35700
"205";"Wineberg, Mark ML";"Department Computing and Information Science";"Guelph";"RGPIN";"Modeling evolutionary algorithms for dynamic and stochastic optimization";"5";"$15,000.00";15000
"206";"Witte, Rene R";"Department Computer Science and Software Engineering";"Concordia";"RGPIN";"Natural language processing services for semantic computing";"5";"$15,000.00";15000
"207";"Wohlstadter, Eric EA";"Department Computer Science";"British Columbia";"RGPIN";"Optimization of distributed data access for web applications";"5";"$15,000.00";15000
"208";"Wu, Fang Xiang FX";"Department Mechanical Engineering";"Saskatchewan";"RGPIN";"Development of methodologies for modeling and design molecular biological systems";"5";"$20,000.00";20000
"209";"Yeh, Chi-Hsiang CH";"Department Electrical and Computer Engineering";"Queen's";"RGPIN";"Green wireless internet: architectures, protocols, applications, and implementations";"5";"$25,000.00";25000
"210";"Yoon, Tae Jin TJ";"Department Linguistics and Languages";"McMaster";"RGPIN";"Prosodic phrasing detection using acoustic source characteristics";"5";"$15,000.00";15000
"211";"You, Jia-Huai JH";"Department Computing Science";"Alberta";"RGPIN";"Answer set programming and applications";"5";"$25,000.00";25000
"212";"Zhang, Hao H";"Department Computing Science";"Simon Fraser";"RGPIN";"Towards high-level geometry processing in computer graphics";"5";"$31,000.00";31000
"213";"Zhang, Yang Y";"Department Mathematics";"Manitoba";"RGPIN";"Noncommutative structures in computer algebra";"5";"$20,000.00";20000
"214";"Zilles, Sandra S";"Department Computer Science";"Regina";"RGPIN";"Algorithmic learning theory and typed pattern languages";"5";"$31,000.00";31000
