"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Bergevin, Robert R";"Genie electrique et genie informatique";"Laval";"RGPIN";"Fundamental issues in cognitive computer vision";"5";"$25,000.00";25000;2010
"Biddle, Robert RL";"Arts and Social Sciences, Faculty of";"Carleton";"RGPIN";"Software design beyond usable security";"5";"$34,000.00";34000;2010
"Biedl, Therese T";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Algorithms for geometric reconstruction problems";"5";"$20,000.00";20000;2010
"Biletskiy, Yevgen YV";"Electrical and Computer Engineering";"New Brunswick";"RGPIN";"Ontology engineering for advanced data management";"5";"$15,000.00";15000;2010
"Bilodeau, Guillaume-Alexandre GA";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Contributions to intelligent visual surveillance";"5";"$20,000.00";20000;2010
"Blouin, Christian C";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Defining the shape of evolutionary landscapes";"5";"$25,000.00";25000;2010
"Booth, Kellogg KS";"Computer Science";"British Columbia";"RGPIN";"Collaboration technology and multi-user interfaces";"1";"$31,000.00";31000;2010
"Brassard, Gilles G";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Quantum information science and cryptography";"5";"$125,000.00";125000;2010
"Braverman, Mark M";"Computer Science";"Toronto";"RGPIN";"Complexicity theory, algorithms and applications";"5";"$51,000.00";51000;2010
"Bremner, David DD";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Geometric aspects of optimization";"5";"$20,000.00";20000;2010
"Brown, Daniel DGB";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Theory and applications of sequence analysis";"5";"$34,000.00";34000;2010
"Brzozowski, Janusz JA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Quotient complexity of regular languages";"5";"$18,000.00";18000;2010
"Bui, Tien TD";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Computational methods for image processing understanding and recognition";"5";"$25,000.00";25000;2010
"Bulatov, Andrei AA";"Computing Science";"Simon Fraser";"RGPIN";"Algorithms and complexity of the constraint satisfaction problem";"5";"$43,000.00";43000;2010
"Bunt, Andrea AK";"Computer Science";"Manitoba";"RGPIN";"Facilitating user involvement in intelligent interactive systems";"5";"$20,000.00";20000;2010
"Cameron, Robert RD";"Computing Science";"Simon Fraser";"RGPIN";"Wirespeed text processing with parallel bit stream technology";"5";"$15,000.00";15000;2010
"Chan, Timothy TM";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"New directions in computational geometry";"5";"$51,000.00";51000;2010
"Chechik, Marsha M";"Computer Science";"Toronto";"RGPIN";"Abstraction and automation for model management";"5";"$43,000.00";43000;2010
"Chen, Yuanzhu YP";"Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Exploration and utilization of broadcast nature of multi-hop wireless networks at the link and network layers";"5";"$15,000.00";15000;2010
"Cherkaoui, Soumaya S";"Genie electrique et genie informatique";"Sherbrooke";"RGPIN";"Enabling service provisioning based on mobile users generated content in next generation networks";"5";"$20,000.00";20000;2010
"Christara, Christina CC";"Computer Science";"Toronto";"RGPIN";"Numerical methods for partial differential equations: algorithms and software on innovative computer architectures";"5";"$25,000.00";25000;2010
"Clark, James JJ";"Electrical and Computer Engineering";"McGill";"RGPIN";"Task sensitive attention tracking";"5";"$43,000.00";43000;2010
"Clarke, Charles CLA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Information retrieval, search, text mining and related applications";"5";"$34,000.00";34000;2010
"Coady, Yvonne MY";"Computer Science";"Victoria";"RGPIN";"STORM: an environment for cloud computing";"5";"$20,000.00";20000;2010
"Collins, Christopher CM";"Science, Faculty of";"Ontario Institute of Technology";"RGPIN";"Information visualization for large-scale text and mixed data";"5";"$25,000.00";25000;2010
"Conati, Cristina C";"Computer Science";"British Columbia";"RGPIN";"Affect-Sensitive adaptive learning environments";"5";"$20,000.00";20000;2010
"Corless, Robert RM";"Applied Mathematics";"Western Ontario";"RGPIN";"Algorithms for structured nonlinear models";"5";"$34,000.00";34000;2010
"Damian, Daniela DE";"Computer Science";"Victoria";"RGPIN";"Requirements-driven collaboration";"5";"$20,000.00";20000;2010
"Datta, Suprakash S";"Computer Science and Engineering";"York";"RGPIN";"Algorithms for communication networks and bioinformatics";"5";"$15,000.00";15000;2010
"Day, Nancy NA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Abstraction in model-driven engineering";"5";"$25,000.00";25000;2010
"Dehne, Frank FK";"Computer Science, School of";"Carleton";"RGPIN";"Parallel algorithms for multi-core & many-core processor clusters and applications in online analytical processing (OLAP) and computational biology";"1";"$25,000.00";25000;2010
"Denzinger, Jörg J";"Computer Science";"Calgary";"RGPIN";"Testing multi-agent systems for unwanted behavior";"5";"$20,000.00";20000;2010
"Desrosiers, Christian C";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Forage de donnees dans les reseaux dynamiques complexes";"5";"$25,000.00";25000;2010
"Deters, Ralph RA";"Computer Science";"Saskatchewan";"RGPIN";"Software infrastructures for mobile cloud computing";"5";"$20,000.00";20000;2010
"Deugo, Dwight DL";"Computer Science, School of";"Carleton";"RGPIN";"Open source software fingerprinting, detection and identification";"5";"$15,000.00";15000;2010
"Diallo, Abdoulaye Banire AB";"Informatique";"Quebec a Montreal";"RGPIN";"New algorithms for ancestral genome reconstruction, phylogenomic inference and genome analyses";"5";"$20,000.00";20000;2010
"Dickinson, Sven SJ";"Computer Science";"Toronto";"RGPIN";"Image abstraction";"5";"$43,000.00";43000;2010
"Ding, Chen (Cherie) C";"Computer Science";"Ryerson";"RGPIN";"QoS-based service selection";"5";"$15,000.00";15000;2010
"Dube, Danny D";"Informatique et de genie logiciel";"Laval";"RGPIN";"Improving the implementation of high-level languages";"5";"$15,000.00";15000;2010
"Dufour, Bruno B";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Understanding the behaviour of framework-intensive applications using blend analysis";"5";"$20,000.00";20000;2010
"Duong, Luc LY";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Motion compensation for image-guided coronary intervention";"5";"$25,000.00";25000;2010
"Durocher, Stephane SJ";"Computer Science";"Manitoba";"RGPIN";"Geometric algorithms for wireless networks and mobile computing";"5";"$25,000.00";25000;2010
"Dymond, Patrick PW";"Computer Science and Engineering";"York";"RGPIN";"Complexity and parallel algorithms";"3";"$15,000.00";15000;2010
"Eck, Douglas DS";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"New machine learning methods for music: learning at multiple timescales";"5";"$43,000.00";43000;2010
"Elbiaze, Halima H";"Informatique";"Quebec a Montreal";"RGPIN";"Providing end-to-end quality of service in next generation networks";"5";"$25,000.00";25000;2010
"Ellen, Faith F";"Computer Science";"Toronto";"RGPIN";"The complexity of fundamental problems in distributed computing";"5";"$34,000.00";34000;2010
"Elmallah, Ehab ES";"Computing Science";"Alberta";"RGPIN";"Dependable services on wireless sensor networks";"5";"$25,000.00";25000;2010
"Farmer, William WM";"Computing and Software";"McMaster";"RGPIN";"MathScheme: Integrating axiomatic and algorithmic mathematics";"5";"$31,000.00";31000;2010
"Feeley, Marc M";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Dynamic languages: design, implementation and evaluation";"5";"$43,000.00";43000;2010
"Ferworn, Alexander A";"Computer Science";"Ryerson";"RGPIN";"Canine augmentation technology";"5";"$31,000.00";31000;2010
"Fichtinger, Gabor G";"Computing, School of";"Queen's";"RGPIN";"Image-guided robotic needle-based surgery of soft tissues";"1";"$31,000.00";31000;2010
"Fleet, David DJ";"Computer Science";"Toronto";"RGPIN";"Video-based analysis of human motion";"5";"$51,000.00";51000;2010
"Franks, Greg RG";"Systems and Computer Engineering";"Carleton";"RGPIN";"Discovery grants - Individual reverse engineering performance models from trace data";"5";"$20,000.00";20000;2010
"Frost, Richard RA";"Computer Science, School of";"Windsor";"RGPIN";"Executable specifications of natural-language speech applications";"5";"$25,000.00";25000;2010
"Gao, QiGang Q";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Perceptual content description language and interface for supporting visual semantic computing";"5";"$15,000.00";15000;2010
"Gemino, Andrew C";"Business Administration, Faculty of";"Simon Fraser";"RGPIN";"User-centered design of requirements engineering techniques";"5";"$20,000.00";20000;2010
"Ghenniwa, Hamada H";"Electrical and Computer Engineering";"Western Ontario";"RGPIN";"Software-as-a-service marketplace: agent-oriented auction-based approach and solutions";"5";"$15,000.00";15000;2010
"Greenberg, Saul S";"Computer Science";"Calgary";"RGPIN";"Mediating interaction in ubiquitous computing through proximity";"5";"$74,000.00";74000;2010
"Hamarneh, Ghassan G";"Computing Science";"Simon Fraser";"RGPIN";"Novel optimization strategies for medical image analysis";"5";"$34,000.00";34000;2010
"Harutyunyan, Hovhannes HA";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Optimization problems in graphs for message dissemination";"5";"$20,000.00";20000;2010
"Hatala, Marek M";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Improving quality of user model inputs by opening the model to the users";"3";"$25,000.00";25000;2010
"Heidrich, Wolfgang W";"Computer Science";"British Columbia";"RGPIN";"Computational imaging for graphics and vision";"5";"$60,000.00";60000;2010
"Hendren, Laurie LJ";"Computer Science, School of";"McGill";"RGPIN";"Languages, compilers and virtual machines for scientists";"5";"$43,000.00";43000;2010
"Heywood, Malcolm MI";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Continuous symbiotic program evolution";"5";"$25,000.00";25000;2010
"Hogue, Andrew AR";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Variational map representation for robotics";"5";"$20,000.00";20000;2010
"Hoos, Holger HH";"Computer Science";"British Columbia";"RGPIN";"Programming by optimisation: Computer-aided design of high-performance algorithms for hard combinatorial problems";"5";"$60,000.00";60000;2010
"Hu, Alan AJ";"Computer Science";"British Columbia";"RGPIN";"Extending the success of formal hardware verification to system software";"5";"$34,000.00";34000;2010
"Huang, Changcheng C";"Systems and Computer Engineering";"Carleton";"RGPIN";"Peer-to-peer multimedia applications over wireless networks";"5";"$25,000.00";25000;2010
"Huang, Elaine EM";"Computer Science";"Calgary";"RGPIN";"Designing sustainable computing technologies";"5";"$25,000.00";25000;2010
"Huang, Xiangji (Jimmy) X";"Information Technology, School of";"York";"RGPIN";"Context-sensitive and task-oriented adaptive information retrieval";"5";"$31,000.00";31000;2010
"Hung, Patrick PCK";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Services-oriented architecture for motion sensing services";"5";"$20,000.00";20000;2010
"Ilie, Lucian L";"Computer Science";"Western Ontario";"RGPIN";"Combinatorial algorithms for approximate string searching and DNA sequencing";"5";"$25,000.00";25000;2010
"Ilyas, Ihab IF";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Probabilistic retrieval and cleaning of large uncertain and inconsistent databases";"5";"$43,000.00";43000;2010
"Jamali, Nadeem N";"Computer Science";"Saskatchewan";"RGPIN";"Resource aware open distributed systems";"5";"$15,000.00";15000;2010
"Janicki, Ryszard R";"Computing and Software";"McMaster";"RGPIN";"Concurrency theory, non-numerical approximation and mereology";"5";"$20,000.00";20000;2010
"Joslin, Christopher CJJ";"Information Technology, School of";"Carleton";"RGPIN";"Adaptation of dynamically generated content";"5";"$20,000.00";20000;2010
"Jourdan, Guy-Vincent G-V";"Engineering, Faculty of";"Ottawa";"RGPIN";"Applied formal testing";"5";"$20,000.00";20000;2010
"Kamel, Mohamed MS";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Data mining and knowledge discovery from unstructured text using cooperative and distributed algorithms";"5";"$34,000.00";34000;2010
"Kapron, Bruce BM";"Computer Science";"Victoria";"RGPIN";"Computational and logical foundations of privacy and security";"1";"$15,000.00";15000;2010
"Karmouch, Ahmed A";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Service composition oriented self-management for autonomic networks";"5";"$43,000.00";43000;2010
"Khendek, Ferhat F";"Electrical and Computer Engineering";"Concordia";"RGPIN";"Model driven real-time software systems engineering";"5";"$31,000.00";31000;2010
"Kherfi, Mohammed Lamine ML";"Mathematiques et informatique";"Quebec a Trois-Rivieres";"RGPIN";"Recherche et indexation de documents visuels: vers des systemes qui se configurent automatiquement";"5";"$15,000.00";15000;2010
"Kim, Theodore TW";"Computer Science";"Saskatchewan";"RGPIN";"Many-core physically based simulations";"5";"$25,000.00";25000;2010
"Koudas, Nick N";"Computer Science";"Toronto";"RGPIN";"Processing queries on text streams";"5";"$34,000.00";34000;2010
"Kruchten, Philippe P";"Applied Science, Faculty of";"British Columbia";"RGPIN";"Software architecture knowledge management";"5";"$25,000.00";25000;2010
"Krzyzak, Adam A";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Nonparametric estimation and learning with applications to object recognition and image analysis";"5";"$43,000.00";43000;2010
"Ktari, Bechir B";"Informatique et de genie logiciel";"Laval";"RGPIN";"Cadre algebrique pour l'analyse de programmes informatiques";"5";"$15,000.00";15000;2010
"Labahn, George G";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Symbolic computation of matrices of operators and related topics";"5";"$51,000.00";51000;2010
"Lea, Rodger J";"Graduate Studies, Faculty of";"British Columbia";"RGPIN";"Large scale ubiquitous computing infrastructure";"5";"$20,000.00";20000;2010
"Lesperance, Yves Y";"Computer Science and Engineering";"York";"RGPIN";"Designing rational agents that can work with others";"5";"$20,000.00";20000;2010
"Leung, Debbie DW";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Quantum communication theory";"5";"$51,000.00";51000;2010
"Li, Ze-Nian ZN";"Computing Science";"Simon Fraser";"RGPIN";"Digital video analysis based on contexts";"5";"$31,000.00";31000;2010
"Light-Thompson, Janet JV";"Computer Science and Applied  Statistics  - Saint John";"New Brunswick";"RGPIN";"Data interaction models for predictive system in pervasive computing environment";"5";"$15,000.00";15000;2010
"Lin, Man M";"Mathematics, Statistics and Computing Sciences";"St. Francis Xavier";"RGPIN";"System-level-low-power scheduling algorithm design for networked heterogeneous embedded systems";"5";"$15,000.00";15000;2010
"Liu, Yanni Y";"Computer Science";"Manitoba";"RGPIN";"Protocols for efficient, reliable, and secure communications in emerging wireless networks";"5";"$15,000.00";15000;2010
"Lu, Fletcher F";"Health Sciences, Faculty of";"Ontario Institute of Technology";"RGPIN";"Matrix computational analysis of probabilistic control systems";"5";"$15,000.00";15000;2010
"Lubiw, Anna A";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Algorithms in computational geometry and graph drawing";"5";"$43,000.00";43000;2010
"MacGregor, Michael MH";"Computing Science";"Alberta";"RGPIN";"Algorithms and architectures for packet classification";"5";"$20,000.00";20000;2010
"Mann, Richard RA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Computational perception of motion";"5";"$15,000.00";15000;2010
"Manuch, Jan J";"Mathematics";"Simon Fraser";"RGPIN";"Combinatorial models and algorithms in bioinformatics";"5";"$20,000.00";20000;2010
"Marbach, Peter P";"Computer Science";"Toronto";"RGPIN";"Theoretical foundations of online social networks";"5";"$34,000.00";34000;2010
"McQuillan, Ian ID";"Computer Science";"Saskatchewan";"RGPIN";"Natural computatoin with genetic processes";"5";"$25,000.00";25000;2010
"Mercer, Robert RE";"Computer Science";"Western Ontario";"RGPIN";"Argumentation in scholarly biomedical research papers";"5";"$31,000.00";31000;2010
"Merlo, Ettore E";"Genie informatique et genie logiciel";"Ecole Polytechnique";"RGPIN";"Analysis, testing and evolution of security vulnerabilities in web applications";"5";"$31,000.00";31000;2010
"Misic, Jelena J";"Computer Science";"Ryerson";"RGPIN";"Deployment of IEEE 802.11p family of protocols in VANET";"5";"$25,000.00";25000;2010
"Mitchell, David DG";"Computing Science";"Simon Fraser";"RGPIN";"Solving combinatorial problems by grounding from specifications";"5";"$20,000.00";20000;2010
"Mohassel, Payman P";"Computer Science";"Calgary";"RGPIN";"Practical secure computation";"5";"$25,000.00";25000;2010
"Möller, Torsten T";"Computing Science";"Simon Fraser";"RGPIN";"Regular lattices in visualization and graphics";"5";"$43,000.00";43000;2010
"Mouhoub, Malek M";"Computer Science";"Regina";"RGPIN";"Preference-based (temporal) constraint solving under change and uncertainty";"5";"$20,000.00";20000;2010
"Mousavi, Parvin P";"Computing, School of";"Queen's";"RGPIN";"Towards integrative data analysis for predictive modeling in biomedical computing";"5";"$31,000.00";31000;2010
"Mukhopadhyay, Asish A";"Computer Science, School of";"Windsor";"RGPIN";"Geometric optimization and applications";"5";"$20,000.00";20000;2010
"Muldner, Tomasz T";"Computer Science, Jodrey School of";"Acadia";"RGPIN";"Updating and querying compressed  XML documents";"5";"$15,000.00";15000;2010
"Müller, Martin MF";"Computing Science";"Alberta";"RGPIN";"Search and simulation in games and planning";"5";"$34,000.00";34000;2010
"Murphy, Gail GC";"Computer Science";"British Columbia";"RGPIN";"Software evolution concern summarization and explanation";"5";"$43,000.00";43000;2010
"Narayanan, Lata L";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Algorithms for wireless ad hoc and sensors networks";"5";"$25,000.00";25000;2010
"Nikolaidis, Ioanis I";"Computing Science";"Alberta";"RGPIN";"Usable and efficient abstractions for wireless sensor networks";"5";"$20,000.00";20000;2010
"Norvell, Theodore TS";"Electrical and Computer Engineering";"Memorial Univ. of Nfld";"RGPIN";"Automated verification of concurrent programs for embedded systems";"5";"$25,000.00";25000;2010
"Nussbaum, Doron D";"Computer Science, School of";"Carleton";"RGPIN";"Dynamic mobile computing";"5";"$15,000.00";15000;2010
"Oommen, John JB";"Computer Science, School of";"Carleton";"RGPIN";"Learning, neural and pattern recognition systems";"5";"$25,000.00";25000;2010
"Opatrny, Jaroslav J";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Routing and communication algorithms in ad-hoc networks";"5";"$20,000.00";20000;2010
"Ostroff, Jonathan JS";"Computer Science and Engineering";"York";"RGPIN";"Mathematical models for specifying and verifying concurrent object-oriented systems";"5";"$20,000.00";20000;2010
"Panangaden, Prakash P";"Computer Science, School of";"McGill";"RGPIN";"Probabilistic systems and applications";"5";"$51,000.00";51000;2010
"Parsons, Jeffrey BJ";"Business Administration, Faculty of";"Memorial Univ. of Nfld";"RGPIN";"Using classification principles to improve semantic information integration";"5";"$20,000.00";20000;2010
"Pattabiraman, Karthik K";"Electrical and Computer Engineering";"British Columbia";"RGPIN";"Building error-resilient applications on many-core platforms";"5";"$20,000.00";20000;2010
"Payeur, Pierre P";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Visual and tactile perception for robotic applications";"5";"$20,000.00";20000;2010
"Penn, Gerald GB";"Computer Science";"Toronto";"RGPIN";"Spoken language processing in ecologically valid contexts";"5";"$25,000.00";25000;2010
"Poulin, Pierre P";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Complex appearance modeling and animation";"5";"$25,000.00";25000;2010
"Precup, Doina D";"Computer Science, School of";"McGill";"RGPIN";"Developmental reinforcement learning";"5";"$60,000.00";60000;2010
"Privat, Jean J";"Informatique";"Quebec a Montreal";"RGPIN";"A object-oriented programming language for robust software";"5";"$15,000.00";15000;2010
"Rappaport, David DH";"Computing, School of";"Queen's";"RGPIN";"Computational geometry and data analysis";"5";"$25,000.00";25000;2010
"Ray, Nilanjan N";"Computing Science";"Alberta";"RGPIN";"Feature correspondence for image analysis";"5";"$25,000.00";25000;2010
"Rayside, Derek DF";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Programming with specifications";"5";"$15,000.00";15000;2010
"Reformat, Marek M";"Electrical and Computer Engineering";"Alberta";"RGPIN";"Fuzziness and context-awareness in decision-making schemas for semantic web";"5";"$20,000.00";20000;2010
"Rilling, Juergen JE";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Ambient software engineering";"5";"$25,000.00";25000;2010
"Roy, Chanchal Kumar CK";"Computer Science";"Saskatchewan";"RGPIN";"Change, similarity and redundancy in software systems";"5";"$15,000.00";15000;2010
"Sadaoui, Samira S";"Computer Science";"Regina";"RGPIN";"Trust management and matchmaking system for multi-attribute reverse auctions";"5";"$20,000.00";20000;2010
"Sahinalp, Cenk CS";"Computing Science";"Simon Fraser";"RGPIN";"Bioinformatics algorithms- from sequence to structure and function";"5";"$43,000.00";43000;2010
"Salah, Aziz A";"Informatique";"Quebec a Montreal";"RGPIN";"Service management system: protocol similarity search";"5";"$15,000.00";15000;2010
"Schost, Eric E";"Computer Science";"Western Ontario";"RGPIN";"Efficient algorithms in computer algebra and their applications";"5";"$43,000.00";43000;2010
"Sedig, Kamran K";"Computer Science";"Western Ontario";"RGPIN";"Design of cognitive tools for everyday information-based activities";"5";"$15,000.00";15000;2010
"Shakshuki, Elhadi ES";"Computer Science, Jodrey School of";"Acadia";"RGPIN";"Cooperative intelligent distributed systems for context-aware and calendaring system";"5";"$15,000.00";15000;2010
"Shepherd, Bruce BF";"Mathematics and Statistics";"McGill";"RGPIN";"Polyhedral methods for optimization and algorithm design";"5";"$31,000.00";31000;2010
"Shepherd, Michael MA";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Context-aware web retrieval";"5";"$15,000.00";15000;2010
"Shiri-Varnaamkhaasti, Nematollaah N";"Computer Science and Software Engineering";"Concordia";"RGPIN";"High performance time series data analysis and pattern discovery";"1";"$15,000.00";15000;2010
"Shoja, Gholamali GC";"Computer Science";"Victoria";"RGPIN";"Leveraging social network theories to address data delivery issues in mobile ad hoc networks";"5";"$15,000.00";15000;2010
"Singh, Mohit M";"Computer Science, School of";"McGill";"RGPIN";"New techniques and directions in approximation algorithms";"5";"$31,000.00";31000;2010
"Smyth, Tamara TR";"Computing Science";"Simon Fraser";"RGPIN";"Modeling, extension, and parameter identification/estimation of vocal and musical instrument systems";"5";"$15,000.00";15000;2010
"Stewart, Neil NF";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Robustness of subdivision-surface methods";"5";"$20,000.00";20000;2010
"Stojmenovic, Ivan I";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Data communication in wireless ad hoc, sensor and vehicular networks";"5";"$31,000.00";31000;2010
"Storey, Margaret-Anne M-AD";"Computer Science";"Victoria";"RGPIN";"Understanding the role of web 2.0 and social media in collaborative software development";"5";"$43,000.00";43000;2010
"Tahar, Sofiene SO";"Electrical and Computer Engineering";"Concordia";"RGPIN";"Formal verification of physical systems and devices";"5";"$51,000.00";51000;2010
"Tan, Lin L";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Leveraging software semantic information to improve software reliability";"5";"$20,000.00";20000;2010
"Tawbi, Nadia N";"Informatique et de genie logiciel";"Laval";"RGPIN";"Security policy enforcement mechanisms";"5";"$31,000.00";31000;2010
"Thulasiram, Ruppa RK";"Computer Science";"Manitoba";"RGPIN";"Advances in computational finance and its application in grid computing";"5";"$15,000.00";15000;2010
"Tompa, Frank FW";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Flexible, efficient text databases";"5";"$31,000.00";31000;2010
"Tourlakis, George G";"Computer Science and Engineering";"York";"RGPIN";"Calculational logic";"5";"$15,000.00";15000;2010
"Turksen, Burhan IB";"Mechanical and Industrial Engineering";"Toronto";"RGPIN";"Computing with words for decision making under uncertainty";"5";"$20,000.00";20000;2010
"Van de Panne, Michiel M";"Computer Science";"British Columbia";"RGPIN";"Scalable physics-based modeling of skilled movement";"5";"$34,000.00";34000;2010
"Vangheluwe, Hans HLM";"Computer Science, School of";"McGill";"RGPIN";"Modelling and simulation based design";"5";"$31,000.00";31000;2010
"Vaughan, Richard RT";"Computing Science";"Simon Fraser";"RGPIN";"Energy efficient large scale multi-robot systems";"5";"$25,000.00";25000;2010
"Vuong, Son ST";"Computer Science";"British Columbia";"RGPIN";"IAMNET - An intelligent AMbient NETworks for the internet of things";"5";"$31,000.00";31000;2010
"Wagner, Alan Shelton AS";"Computer Science";"British Columbia";"RGPIN";"Data intensive parallel computing";"5";"$20,000.00";20000;2010
"Wainer, Gabriel GA";"Systems and Computer Engineering";"Carleton";"RGPIN";"Methodologies for real-time discrete-event simulation";"5";"$31,000.00";31000;2010
"Waldispuhl, Jerome J";"Computer Science, School of";"McGill";"RGPIN";"Algorithms for exploring the mutational landscape of RNA molecules";"5";"$25,000.00";25000;2010
"Wan, Justin JWL";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Numerical models and methods for cell image analysis";"5";"$25,000.00";25000;2010
"Wang, Fangju F";"Computing and Information Science";"Guelph";"RGPIN";"Disambiguation in natural language user interfaces of service robots";"5";"$15,000.00";15000;2010
"Wang, Shengrui S";"Informatique";"Sherbrooke";"RGPIN";"Mining high-dimensional data, sequences and data streams / Prospection de donnees de grande dimension, de sequences et de flux de donees";"5";"$43,000.00";43000;2010
"Wareham, Harold HT";"Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Parameterized complexity analysis in cognitive science";"5";"$15,000.00";15000;2010
"Wasserman, Wyeth WW";"Medical Genetics";"British Columbia";"RGPIN";"Computational analysis of regulatory DNA sequences controlling gene transcription";"5";"$35,700.00";35700;2010
"Wineberg, Mark ML";"Computing and Information Science";"Guelph";"RGPIN";"Modeling evolutionary algorithms for dynamic and stochastic optimization";"5";"$15,000.00";15000;2010
"Witte, Rene R";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Natural language processing services for semantic computing";"5";"$15,000.00";15000;2010
"Wohlstadter, Eric EA";"Computer Science";"British Columbia";"RGPIN";"Optimization of distributed data access for web applications";"5";"$15,000.00";15000;2010
"Wu, Fang Xiang FX";"Mechanical Engineering";"Saskatchewan";"RGPIN";"Development of methodologies for modeling and design molecular biological systems";"5";"$20,000.00";20000;2010
"Yeh, Chi-Hsiang CH";"Electrical and Computer Engineering";"Queen's";"RGPIN";"Green wireless internet: architectures, protocols, applications, and implementations";"5";"$25,000.00";25000;2010
"Yoon, Tae Jin TJ";"Linguistics and Languages";"McMaster";"RGPIN";"Prosodic phrasing detection using acoustic source characteristics";"5";"$15,000.00";15000;2010
"You, Jia-Huai JH";"Computing Science";"Alberta";"RGPIN";"Answer set programming and applications";"5";"$25,000.00";25000;2010
"Zhang, Hao H";"Computing Science";"Simon Fraser";"RGPIN";"Towards high-level geometry processing in computer graphics";"5";"$31,000.00";31000;2010
"Zhang, Yang Y";"Mathematics";"Manitoba";"RGPIN";"Noncommutative structures in computer algebra";"5";"$20,000.00";20000;2010
"Zilles, Sandra S";"Computer Science";"Regina";"RGPIN";"Algorithmic learning theory and typed pattern languages";"5";"$31,000.00";31000;2010
"Abdel-Dayem, Amr AAR";"Mathematics and Computer Science";"Laurentian";"RGPIN";"Image segmentation and understanding";"5";14000;14000;2011
"Abran, Alain A";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Software metrology: Foundations, concepts and techniques for improving quantitative management in software engineering";"5";24000;24000;2011
"Adi, Kamel K";"Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Securite des systèmes et reseaux informatiques";"5";24000;24000;2011
"Ahmed, Maher MM";"Physics and Computer Science";"Wilfrid Laurier";"RGPIN";"Multiple sensors system for sign language recognition";"5";14000;14000;2011
"Alhajj, Reda RS";"Computer Science";"Calgary";"RGPIN";"The power of data mining and machine leaning techniques in social network modeling and analysis";"1";20000;20000;2011
"Andrews, James JH";"Computer Science";"Western Ontario";"RGPIN";"Development of high-quality, accessible software";"5";20000;20000;2011
"Ansermino, Mark MJ";"Medicine, Faculty of";"British Columbia";"RGPIN";"The monitoring messenger: Mobile patient monitoring for the intensive care unit";"1";24000;24000;2011
"Antle, Alissa AN";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Image schema and conceptual metaphor based whole body user interfaces";"5";14000;14000;2011
