"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Lhotak, O";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Practical static analysis of object-oriented programs";"5";50000;2009
"Li, Z";"Computer Science";"Calgary";"RGPIN";"Internet multicast routing: algorithms, mechanisms and systems";"5";30000;2009
"Liscano, R";"Engineering and Applied Science, Faculty of";"UOIT";"RGPIN";"Autonomic computing in heterogeneous sensor networks";"5";19000;2009
"Liu, J";"Computing Science";"Simon Fraser";"RGPIN";"Toward adaptive, scalable and socialized multimedia content distribution over ubiquitous networks";"5";50000;2009
"Lu, PCP";"Computing Science";"Alberta";"RGPIN";"Scalable and efficient software systems on virtual machine platforms";"5";19000;2009
"Lung, C";"Systems and Computer Engineering";"Carleton";"RGPIN";"Using model-driven engineering to support autonomic computing";"5";30000;2009
"MacGregor, MH";"Computing Science";"Alberta";"RGPIN";"Algorithms and architectures for data networking";"1";15000;2009
"MacKenzie, IS";"Computer Science and Engineering";"York";"RGPIN";"Motor and perceptual optimization of user interfaces";"5";30000;2009
"McGregor, C";"Business and Information Technology, Faculty of";"UOIT";"RGPIN";"Distributed temporal multi-dimensional data mining";"1";15000;2009
"Ng, RT";"Computer Science";"British Columbia";"RGPIN";"A data mining framework for genomics biomarker and signature identification";"5";70000;2009
"Ozsu, MT";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Studies in advanced distributed data management";"5";70000;2009
"Paquet, J";"Computer Science and Software Engineering";"Concordia";"RGPIN";"GIPSY - General intensional programing system";"1";15000;2009
"Parsons, BJ";"Business Administration, Faculty of";"Memorial Univ. of Nfld";"RGPIN";"Information integration using principles of classification";"1";15000;2009
"Peyton, LH";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"An engineering and management framework for trusted information processes";"5";24000;2009
"Poehlman, WFS";"Computing and Software";"McMaster";"RGPIN";"Novel smart software technologies for medical informatics";"1";15000;2009
"Radhakrishnan, T";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Human centered computing and medical data visualization";"5";28500;2009
"Riecke, BE";"Applied Sciences, Faculty of";"Simon Fraser";"RGPIN";"Enabling effective human spatial orientation and behaviour in virtual environments";"5";35000;2009
