"Name";"Department";"Institution";"Program";"Title";"Term";"amount"
"Aboulhamid, EM";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"New paradigms ro exploit parallelism in modeling and simulation of heterogeneous systems";"5";53000
"Aiello, W";"Computer Science";"British Columbia";"RGPIN";"Enterprise security";"5";30000
"Alencar, SC";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Recombinant and evolutionary high-level software architectures: Design, integration, evolution and analysis";"5";30000
"An, A";"Computer Science and Engineering";"York";"RGPIN";"Resource-adaptive learning of classification rules from data streams";"5";40000
"Antle, AN";"Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Investigating embodied interaction in embedded computational environments";"1";15000
"April, A";"Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Process model for software maintenance and evolution";"5";15000
"Atrey, PK";"Applied Computer Science and Administrative Studies";"Winnipeg";"RGPIN";"Privacy-aware automated multimedia surveillance for public safety";"5";24000
"Baker, CJO";"Computer Science and Applied Statistics - Saint John";"New Brunswick";"RGPIN";"Knowledge-navigation infrastructure for the life sciences: mutations";"1";15000
"Benkoczi, R";"Mathematics and Computer Science";"Lethbridge";"RGPIN";"Models and algorithms for facility location with applications to wireless networks";"5";24000
"Berry, DM";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Requirements engineering and electronic publishing";"5";19000
"Beznosov, KV";"Electrical and Computer Engineering";"British Columbia";"RGPIN";"Security engineering for large-scale distributed software applications";"5";30000
"Bodorik, P";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"Privacy compliance for e-commerce in web services architecture";"1";15000
"Boley, H";"Computer Science, Faculty of";"New Brunswick";"RGPIN";"Scalable rule interchange techniques";"1";15000
"Boukerche, A";"Information Technology and Engineering, School of";"Ottawa";"RGPIN";"Mobility management protocols for vehicular ad hoc networks";"5";40000
"Boulanger, P";"Computing Science";"Alberta";"EQPEQ";"Hapto-audio-visual environments for collaborative surgical training";"1";85400
"Boutaba, R";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Fundamentals in network and service management";"5";70000
"Buhr, PA";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"High-performance concurrent programming";"5";19000
"Burton-Jones, AN";"Sauder School of Business";"British Columbia";"RGPIN";"Making conceptual models clearer and more understandable";"1";15000
"Cameron, RD";"Computing Science";"Simon Fraser";"RGPIN";"Parallel bit stream technology";"1";15000
"Chen, YP";"Computer Science";"Memorial Univ. of Nfld";"RGPIN";"Exploration and utilization of broadcasting nature of multi-hop wireless networks";"1";15000
"Coady, MY";"Computer Science";"Victoria";"RGPIN";"Exploring scalable systems through federated infrastructures";"1";15000
"Cockett, JRB";"Computer Science";"Calgary";"RGPIN";"Categorical programming and computability";"5";50000
"Das, O";"Electrical and Computer Engineering";"Ryerson";"RGPIN";"Modeling and design of secure software systems";"5";19000
"Daudjee, S";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Data freshness in P2P replication";"5";24000
"Dingel, J";"Computing, School of";"Queen's";"RGPIN";"Putting more engineering into software engineering: Improving model-driven development";"5";35000
"Dube, D";"Informatique et de genie logiciel";"Laval";"RGPIN";"Improving the implementation of high-level languages";"1";15000
"Easterbrook, SM";"Computer Science";"Toronto";"RGPIN";"Engineering the software for understanding climate change";"5";40000
"EL-Darieby, ME";"Engineering, Faculty of";"Regina";"RGPIN";"Ubiquitous and participatory social networking for ambient situational awareness";"1";15000
"Far, B";"Electrical and Computer Engineering";"Calgary";"RGPIN";"Distributed knowledge management using ontology learning";"1";15000
