"Name";"Department";"Institution";"Program";"Title";"Term";"amount";"a2"
"Wakkary, Ron R";"Department Interactive Arts and Technology, School of (SIAT)";"Simon Fraser";"RGPIN";"Improving design strategies for customization and appropriation";"5";20000;20000
"Wang, Hai H";"Department Finance, Information Systems, and Management Science";"Saint Mary's";"RGPIN";"Data summarization on probabilistic databases";"5";20000;20000
"Weddell, Grant GE";"Department Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Integrating and querying information sources in the context of large-scale ontological knowledge";"5";24000;24000
"Wei, Ruizhong R";"Department Computer Science";"Lakehead";"RGPIN";"Combinatorial methods in network security and communication codes";"5";24000;24000
"Whitehead, Anthony AD";"Department Information Technology, School of";"Carleton";"RGPIN";"Personal space sensor networks for active human computer interaction";"5";14000;14000
"Whitesides, Sue S";"Department Computer Science";"Victoria";"RGPIN";"Robotics and geometry";"5";33000;33000
"Wigdor, Daniel DJ";"Department Computer and Mathematical Sciences";"Toronto";"RGPIN";"User interface feedforward and feedback supporting and enabling body tracking technologies";"5";29000;29000
"Wismath, Stephen SK";"Department Mathematics and Computer Science";"Lethbridge";"RGPIN";"Algorithmic graph drawing";"5";14000;14000
"Woodside, Murray CM";"Department Systems and Computer Engineering";"Carleton";"RGPIN";"Software performance engineering by models and measurement";"5";42000;42000
"Woungang, Isaac I";"Department Computer Science";"Ryerson";"RGPIN";"Attacks and defense in mobile wireless ad hoc networks";"5";14000;14000
"Wyvill, Brian BLM";"Department Computer Science";"Victoria";"RGPIN";"Interactive implicit modelling";"5";33000;33000
"Xiang, Yang Y";"Department Computing and Information Science, School of";"Guelph";"RGPIN";"Graphical models: Inference, decision and acquisition";"5";14000;14000
"Xiao, Lu LX";"Department Information and Media Studies, Faculty of";"Western Ontario";"RGPIN";"The value of visualizing shared rationales for identifying hidden profiles in virtual group decision-making";"5";14000;14000
"Ye, Qiang Q";"Department Computer Science and Information Technology";"Prince Edward Island";"RGPIN";"QoS provisioning in heterogeneous networks: A perspective from the edge";"5";14000;14000
"Young, James JE";"Department Computer Science";"Manitoba";"RGPIN";"Leveraging people's everyday skill sets for interaction with robots";"5";14000;14000
"Zhang, Chang-Nian CN";"Department Computer Science";"Regina";"RGPIN";"Fault tolerant cryptography and advanced multilayer access control";"5";14000;14000
"Zhang, Hong H";"Department Computing Science";"Alberta";"RGPIN";"Scalable appearance-based robot navigation";"5";24000;24000
"Zouaq, Amal A";"Department Mathematics and Computer Science";"Royal Military College of Canada";"RGPIN";"A learning-by-reading framework for ontology learning";"5";14000;14000
