"Name";"Department";"Institution";"Program";"Title";"Term";"amount";"a2"
"Csuros, Miklos M";"Department Informatique et recherche operationnelle";"Montreal";"RGPIN";"Bioinformatics for comparative and evolutionary genomics";"5";24000;24000
"Czyzowicz, Jurek J";"Department Informatique et d'ingenierie";"Quebec en Outaouais";"RGPIN";"Mobile agents algorithms for networks and geometric environments";"5";24000;24000
"Dehne, Frank FK";"Department Computer Science, School of";"Carleton";"RGPIN";"Auto-tuned parallel algorithms for hybrid multi-core/many-core processor clusters";"5";49000;49000
"Devroye, Luc L";"Department Computer Science, School of";"McGill";"RGPIN";"Applications of probability theory in the design and analysis of algorithms";"5";85000;85000
"Dimitrov, Vasil VS";"Department Electrical and Computer Engineering";"Calgary";"RGPIN";"Side channel protection of public key cryptographic systems";"1";20000;20000
"Dssouli, Rachida R";"Department Concordia Institute for Information Systems Engineering (CIISE)";"Concordia";"RGPIN";"Dynamic composition of systems and services";"5";20000;20000
"Dujmovic, Vida V";"Department Computer Science, School of";"Carleton";"RGPIN";"Geometric representation of graphs and graph minors";"5";29000;29000
"Duntsch, Ivo IV";"Department Computer Science";"Brock";"RGPIN";"Reasoning about perceptual systems";"5";20000;20000
"Eager, Derek DL";"Department Computer Science";"Saskatchewan";"RGPIN";"The design and performance analysis of internet systems and applications";"5";29000;29000
"Edmonds, Jeff A";"Department Computer Science and Engineering";"York";"RGPIN";"Multi-processor scheduling and power management";"5";14000;14000
"Egli, Richard RP";"Department Informatique";"Sherbrooke";"RGPIN";"Meshfree physically-based animation of natural phenomena in computer graphics";"5";20000;20000
"El Boussaidi, Ghizlane G";"Department Genie logiciel et des TI";"Ecole de technologie superieure";"RGPIN";"Software design through model transformation";"5";14000;14000
"El Emam, Khaled KM";"Department Pediatrics";"Ottawa";"RGPIN";"Metrics and methods for the de-identification of health information";"5";29000;29000
"El-Sakka, Mahmoud MR";"Department Computer Science";"Western Ontario";"RGPIN";"Model-based image segmentation";"5";24000;24000
"Enright, Wayne WH";"Department Computer and Mathematical Sciences";"Toronto";"RGPIN";"Robust and reliable software for the investigation of approximate solutions of systems of ordinary differential equations";"5";20000;20000
"Esfandiari, Babak BE";"Department Systems and Computer Engineering";"Carleton";"RGPIN";"User imitation for multi-purpose robotics";"5";14000;14000
"Evans, William WS";"Department Computer Science";"British Columbia";"RGPIN";"Impact of information representation on computation";"5";24000;24000
