%call_w.dat--------------------------------------
%call_w.dat, part of AZ_PROJ v1.1
% (C) Joseph Mack 1997,8
%
% label file to display the numbers of the call areas (0..9)
% This file puts the appropriate number in the center of each call area.
% Use with /draw_USA_call_areas (in az_ini.ps) ON.
%
% distributed under GPL, see COPYING, which accompanies the AZ_PROJ package
% This file needs AZ_PROJ v1.04 (at least)
%
% label: a string centered on the lat/lon point
% (cf annot, which is drawn above the lat/lon point, with a blob on the lat/lon point)
%
% To add a label at lat/lon (decimal degrees, not deg:min:sec) add a line like
%
%label:string(can include blanks):lat(real):long(real):font_size(real 1-10):string ignored by AZ_PROJ
%
%font_size is 1 (small) to 10 (large), null defaults to 1
%
label:0:40:-98:1:USA call area 0
label:1:44:-71:1:
label:2:43:-76:1:
%label:3:40.5:-78:1:
label:3:FN10am:1:location entered by gridsquare
label:4:33:-83:1:
label:5:32:-100:1:
label:6:35.5:-119.5:1:
label:7:40:-115:1:
label:8:40:-83:1:
label:9:40:-88:1:USA call area 9
%end of call_w labels
%--------------------------------------
%geographical borders of US call areas
%W6 border
    2  36.550  -89.500
    2  36.567  -89.533
    2  36.550  -89.567
    3  36.517  -89.567
    1  36.483  -89.550
    1  36.450  -89.550
    2  36.367  -89.533
    1  36.350  -89.550
    1  36.350  -89.617
    2  36.317  -89.633
    2  36.267  -89.550
    1  36.250  -89.583
    3  36.233  -89.683
    2  36.133  -89.600
    2  36.100  -89.667
    5  35.983  -89.733
% W4 - W9
 9055  37.817  -88.033 ***** IL - KY
    2  37.750  -88.067
    1  37.683  -88.133
    2  37.633  -88.167
    1  37.600  -88.150
    1  37.533  -88.083
    4  37.483  -88.083
    1  37.467  -88.117
    1  37.450  -88.267
    1  37.433  -88.333
    2  37.400  -88.367
    1  37.400  -88.467
    3  37.383  -88.483
    1  37.333  -88.517
    2  37.283  -88.517
    2  37.150  -88.417
    4  37.067  -88.483
    1  37.067  -88.517
    2  37.067  -88.567
    1  37.117  -88.650
    1  37.217  -88.900
    3  37.217  -88.967
    1  37.217  -89.017
    2  37.183  -89.067
    1  37.117  -89.117
    3  37.067  -89.167
    2  37.017  -89.167
    5  36.983  -89.133
 9064  39.100  -84.817 ***** IN - KY
    2  39.050  -84.883
    2  38.967  -84.817
    1  38.917  -84.867
    2  38.900  -84.867
    1  38.900  -84.800
    2  38.883  -84.783
    2  38.833  -84.817
    4  38.783  -84.800
    1  38.800  -84.850
    2  38.783  -84.983
    2  38.683  -85.183
    2  38.750  -85.267
    4  38.733  -85.433
    1  38.700  -85.450
    1  38.650  -85.433
    3  38.533  -85.417
    1  38.517  -85.467
    2  38.467  -85.517
    2  38.450  -85.600
    1  38.333  -85.650
    2  38.300  -85.683
    2  38.267  -85.750
    1  38.283  -85.800
    2  38.283  -85.833
    2  38.183  -85.900
    2  38.033  -85.917
    1  38.000  -85.950
    1  38.000  -86.017
    4  37.967  -86.050
    2  38.017  -86.117
    1  38.017  -86.183
    2  38.067  -86.267
    1  38.083  -86.283
    2  38.133  -86.283
    4  38.200  -86.367
    2  38.183  -86.383
    1  38.150  -86.333
    2  38.133  -86.333
    2  38.100  -86.400
    2  38.133  -86.467
    2  38.067  -86.433
    2  38.033  -86.517
    2  37.933  -86.517
    2  37.917  -86.583
    2  37.867  -86.600
    4  37.850  -86.633
    2  37.850  -86.667
    2  37.900  -86.650
    1  37.900  -86.717
    2  37.900  -86.750
    1  37.967  -86.800
    3  37.983  -86.833
    2  37.933  -86.917
    2  37.917  -87.017
    1  37.817  -87.067
    3  37.783  -87.117
    1  37.800  -87.150
    2  37.833  -87.167
    1  37.850  -87.200
    2  37.933  -87.400
    1  37.933  -87.467
    1  37.917  -87.517
    2  37.917  -87.567
    4  37.967  -87.600
    2  37.933  -87.617
    2  37.867  -87.583
    3  37.833  -87.633
    2  37.833  -87.683
    1  37.883  -87.667
    2  37.900  -87.683
    2  37.867  -87.783
    1  37.883  -87.833
    2  37.933  -87.900
    2  37.917  -87.933
    2  37.817  -87.900
    2  37.783  -87.950
    1  37.817  -88.033
    5  37.800  -88.050
 9065  38.417  -82.600 *****
