%--------------------------------------
% % File gridw3ep.dat, worked grid squares on 6m by w3ep
% grid.dat formatted data file for az_proj v1.04
% (C) Joseph Mack (C) 1996
%
% You need AZ_PROJv1.04 to run this file
%
% contains information about contacts by freq and propagation mode
%
% The band to be displayed is selected in
% the array "/bands_plotted" in az_ini.ps
% the grid worked will be colored/marked according to the propagation mode used.
% the propagation modes are primarily of interest to VHF'ers
% The equivelent for HF'ers would be the dxcc list, by band and mode (CW, ssb...)
%
% the line grid:50:F2:FM19 is parsed as -
% grid: symbol to show that following data is a worked grid
% 50: band the grid was worked on
% F2: propagation mode (F2, Es, EME, Au, Ms, TEP)
% FM19 grid worked
%
% Ms and Au occupy the same space and an Es contact will overwrite an Au contact.
% The reverse is not true. The Au symbol does not overwrite the Es color patch.
% For any grid, list the Au contact after the Es contact.
% White space is not allowed anywhere in file.
% ie Do not have anything (even a blank) following the grid square symbol.
%
grid:50:Es:EM26:comment field
grid:50:Es:EM27:comment field
grid:50:Es:EM28:comment field
grid:50:Es:EM29:comment field
grid:50:Es:EN20:comment field
grid:50:Es:EN21:comment field
grid:50:Es:EN23:comment field
grid:50:Es:EN24:comment field
grid:50:Es:EN25:comment field
grid:50:Es:EN26:comment field
grid:50:Es:EN28:comment field
grid:50:Es:EL37:comment field
grid:50:Es:EM30:comment field
grid:50:Es:EM31:comment field
grid:50:Es:EM32:comment field
grid:50:Es:EM33:comment field
grid:50:Es:EM34:comment field
grid:50:Es:EM35:comment field
grid:50:Es:EM36:comment field
grid:50:Es:EM37:comment field
grid:50:Es:EM38:comment field
grid:50:Es:EM39:comment field
grid:50:Es:EN30:comment field
grid:50:Es:EN31:comment field
grid:50:Es:EN33:comment field
grid:50:Es:EN34:comment field
grid:50:Es:EN35:comment field
grid:50:Es:EL49:comment field
grid:50:Es:EM40:comment field
grid:50:Es:EM41:comment field
grid:50:Es:EM42:comment field
grid:50:Es:EM43:comment field
grid:50:Es:EM44:comment field
grid:50:Es:EM45:comment field
grid:50:Es:EM46:comment field
grid:50:Es:EM47:comment field
grid:50:Es:EM48:comment field
grid:50:Es:EM49:comment field
grid:50:Es:EN40:comment field
grid:50:Es:EN41:comment field
grid:50:Es:EN42:comment field
grid:50:Es:EN43:comment field
grid:50:Es:EN44:comment field
grid:50:Es:EN45:comment field
grid:50:Es:EN46:comment field
grid:50:Es:EL59:comment field
grid:50:Es:EM50:comment field
grid:50:Es:EM51:comment field
grid:50:Es:EM52:comment field
grid:50:Es:EM53:comment field
grid:50:Es:EM54:comment field
grid:50:Es:EM55:comment field
grid:50:Es:EM56:comment field
grid:50:Es:EM57:comment field
grid:50:Es:EM58:comment field
grid:50:Es:EM59:comment field
grid:50:Es:EN50:comment field
grid:50:Es:EN51:comment field
grid:50:Es:EN52:comment field
grid:50:Es:EN53:comment field
grid:50:Es:EN54:comment field
grid:50:Es:EN55:comment field
grid:50:Es:EN56:comment field
grid:50:Es:EN57:comment field
grid:50:Es:EM60:comment field
grid:50:Es:EM61:comment field
grid:50:Es:EM62:comment field
grid:50:Es:EM63:comment field
grid:50:Es:EM64:comment field
grid:50:Es:EM65:comment field
grid:50:Es:EM66:comment field
grid:50:Es:EM67:comment field
grid:50:Es:EM68:comment field
grid:50:Es:EM69:comment field
grid:50:Es:EN60:comment field
grid:50:Es:EN61:comment field
grid:50:Es:EN62:comment field
grid:50:Es:EN63:comment field
grid:50:Es:EN64:comment field
grid:50:Es:EN66:comment field
grid:50:Es:EL79:comment field
grid:50:Es:EM70:comment field
grid:50:Es:EM71:comment field
grid:50:Es:EM72:comment field
grid:50:Es:EM73:comment field
grid:50:Es:EM74:comment field
grid:50:Es:EM75:comment field
grid:50:Es:EM76:comment field
grid:50:Es:EM77:comment field
grid:50:Es:EM78:comment field
grid:50:Es:EM79:comment field
grid:50:Es:EN70:comment field
grid:50:Es:EN71:comment field
grid:50:Es:EN72:comment field
grid:50:Es:EN73:comment field
grid:50:Es:EN74:comment field
grid:50:Es:EN76:comment field
grid:50:Es:EL84:comment field
grid:50:Es:EL86:comment field
grid:50:Es:EN88:comment field
grid:50:Es:EN89:comment field
grid:50:Es:EM80:comment field
grid:50:Es:EM81:comment field
grid:50:Es:EM82:comment field
grid:50:Es:EM83:comment field
