%--------------------------------------
%Beacon File for az_proj
%	To add a beacon to the map, supply data in the form
%		beacon:frequency Callsign Grid_locator Power Direction
%	eg.	beacon:144.170 KH6HME BK29go 60 90 1
% 	    if beam direction is -1 then repeater antenna is omnidirectional
%	    the trailing '1' is an optional flag to print
%           the text below the symbol rather than on top (default)
%
%	The beacon file (bea_w3ep.dat), is maintained by Emil Pocock, W3EP.
%	Emil writes the `World above 50MHz' column in QST. Please send
%	beacon updates to Emil and we will get them from him.
%	Sorry, this file only has US beacons.
%
%	This is a modified W3EP format file in which text (eg "omni")
%	have been replaced by numerical data in an attempt to have an
% 	easy to parse, machine readable, format. I don't care what format
%	is used as long as it is stable for the useful life of this program.
%
%
%	beacon: is for a regular beacon
%	BEACON: is for a beacon that you want to be
%	specially marked (like your club's) beacon.
%	The routines to make a beacon "special" are in az_proj.ps.
%	If you make up a "special" routine that you like
%	better than ours, send it along. We might like it better too.
%
%
%This file can be used with a command like
%C:>gs -q az_proj.ps -- az_proj.ps n_amer.wdb bea_w3ep.dat
%
beacon:10368.045   K3SIW     EN52xb        3      270
beacon:10368.045   K4EJQ     EM86         0.15   -1
beacon:10368.120   N4MW      EM55ac       0.03   -1
beacon:10368.270   AA5C      EM13se       0.025  -1
beacon:10368.275   KS2D      FN20ok       2.5    -1
beacon:10368.300   N6CA      DM03ts       3.5    -1
beacon:10368.310   N6CA      DM03ms       5      -1
beacon:10368.325   W6ASL     CM88wj       5      -1
beacon:10368.350   NW7O      DM25gv      0.04    -1
beacon:24192.047   KK6TG     CM88qq      0.03    -1
beacon:24192.325   AA5C      EM13se     0.001    225
%--------------------------------------
%--------------------------------------bea_w3ep.dat
