% city_min.dat (city_minor.dat)
% This file needs AZ_PROJ v1.1
% A list of ca 600 cities that I found somewhere.
% The original file had a date of 26 Feb 89
% I have no idea who holds the copyright.
% My thanks go to the original compiler of this data.
% My apologies for not knowing who you are
% or being able to give you your due credit.
% Joe NA3T, Jul 97
%
% Spelling mistakes corrected ... 
% Lat/Long's re-checked using Times World Atlas
% Mark G4KGA, Sept 98
%
% data format for this file
% city:name:lat:lon:scaling factor for font size:comment
%
% This file adds a bit of decoration to maps drawn
% for UHF, ie with scales <250km/cm, where some maps
% have no geographical features and only grid square labels.
% Depending on your part of the world, these maps will
% still be empty or could be very crowded with cities.
% Suggest only use on maps with scales <=250km/cm
%
city:Dover:39.17:-75.53:1:Comment ignored by AZ_PROJ
city:Duluth:46.75:-92.17:1:Comment ignored by AZ_PROJ
city:Durango:37.27:-107.88:1:Comment ignored by AZ_PROJ
city:Eastville:37.37:-75.97:1:Comment ignored by AZ_PROJ
city:Eau Claire:44.83:-91.50:1:Comment ignored by AZ_PROJ
city:Elizabeth:40.67:-74.25:1:Comment ignored by AZ_PROJ
city:Elizabethton:36.37:-82.25:1:Comment ignored by AZ_PROJ
city:Ellington:41.90:-72.47:1:Comment ignored by AZ_PROJ
city:Elmira:42.10:-76.83:1:Comment ignored by AZ_PROJ
city:El Paso:31.75:-106.50:1:Comment ignored by AZ_PROJ
city:Endicott:42.10:-76.05:1:Comment ignored by AZ_PROJ
city:Erie:42.12:-80.08:1:Comment ignored by AZ_PROJ
city:Eugene:44.03:-123.07:1:Comment ignored by AZ_PROJ
city:Eureka:40.82:-124.17:1:Comment ignored by AZ_PROJ
city:Evansville:38.00:-87.55:1:Comment ignored by AZ_PROJ
city:Fairbanks:64.83:-147.83:1:Comment ignored by AZ_PROJ
city:Fall River:41.70:-71.13:1:Comment ignored by AZ_PROJ
city:Flagstaff:35.20:-111.63:1:Comment ignored by AZ_PROJ
city:Flint:43.05:-83.67:1:Comment ignored by AZ_PROJ
city:Frederick:39.42:-77.42:1:Comment ignored by AZ_PROJ
city:Fredericksburg:38.30:-77.50:1:Comment ignored by AZ_PROJ
city:Ft Lauderdale:26.13:-80.14:1:Comment ignored by AZ_PROJ
city:Ft Worth:32.75:-97.33:1:Comment ignored by AZ_PROJ
city:Gainesville:29.66:-82.33:1:Comment ignored by AZ_PROJ
city:Gary:41.57:-87.33:1:Comment ignored by AZ_PROJ
city:Geneva:42.88:-76.98:1:Comment ignored by AZ_PROJ
city:Grand Rapids:42.95:-86.67:1:Comment ignored by AZ_PROJ
city:Great Falls:47.50:-111.27:1:Comment ignored by AZ_PROJ
city:Haddonfield:39.88:-75.02:1:Comment ignored by AZ_PROJ
city:Hagerstown:39.65:-77.73:1:Comment ignored by AZ_PROJ
city:Hampton:37.03:-76.38:1:Comment ignored by AZ_PROJ
city:Harrisburg:40.30:-76.82:1:Comment ignored by AZ_PROJ
city:Hartford:41.75:-72.70:1:Comment ignored by AZ_PROJ
city:Honolulu:21.32:-157.83:1:Comment ignored by AZ_PROJ
city:Hot Springs:34.50:-93.03:1:Comment ignored by AZ_PROJ
city:Houston:29.75:-95.42:1:Comment ignored by AZ_PROJ
city:Huntington:38.40:-82.43:1:Comment ignored by AZ_PROJ
city:Huntsville:34.73:-86.58:1:Comment ignored by AZ_PROJ
