"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Salavatipour, Mohammad Reza MR";"Computing Science";"Alberta";"RGPIN";"Approximation Algorithms and Hardness of Approximation for Optimization Problems";"5";44000
"Salomaa, Kai KT";"Computing, School of";"Queen's";"RGPIN";"Automata with limited nondeterminism and applications of automata";"5";30000
"Samaan, Nancy A";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Self-Management Mechanisms for Clouds Assisting Mobile Users";"5";20000
"Santoro, Nicola N";"Computer Science, School of";"Carleton";"RGPIN";"Distributed Computing and Mobility";"5";44000
"Sarkar, Anoop A";"Computing Science, School of";"Simon Fraser";"RGPIN";"Multilingual Statistical Machine Translation";"5";30000
"Schneider, Kevin KA";"Computer Science";"Saskatchewan";"RGPIN";"Evolving Software Collaboratively";"5";15000
"Schroeder, Bianca B";"Computer and Mathematical Sciences (Scarborough)";"Toronto";"RGPIN";"Reliable and energy-efficient next-generation data centres";"5";36000
"Schulte, Oliver N";"Computing Science, School of";"Simon Fraser";"RGPIN";"Learning Bayes Nets for Relational Data and Heterogenous Networks";"5";20000
"Schuurmans, Dale DE";"Computing Science";"Alberta";"RGPIN";"Learning Predictive Representations from Incomplete Data";"5";62000
"Shallit, Jeffrey JO";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Avoidability and Decidability in Formal Languages and Automata";"5";36000
"Sharlin, Ehud E";"Computer Science";"Calgary";"RGPIN";"Physicality in Human-Robot Interaction: Form, Movement, Proxemics and Touch";"5";15000
"Shen, Weiming W";"Electrical and Computer Engineering";"Western Ontario";"RGPIN";"Agent-Based Resilient and Secure Wireless Sensor Networks and Applications";"5";15000
"Siddiqi, Kaleem K";"Computer Science, School of";"McGill";"RGPIN";"Minimal Surfaces in the Heart";"5";36000
"Spiteri, Raymond J";"Computer Science";"Saskatchewan";"RGPIN";"Game-Changing Time Integration of Complex Systems for the Exaflop Era";"5";30000
"Stavness, Ian IK";"Computer Science";"Saskatchewan";"RGPIN";"High-Fidelity Simulation of Human Muscles and Movement";"5";20000
"St-Denis, Richard R";"Informatique";"Sherbrooke";"RGPIN";"A Theory of Discrete Event Systems as a Foundation for Component-Based Software Engineering/Une theorie des systemes a evenements discrets comme base a l'ingenierie du logiciel";"5";25000
"Storjohann, Arne A";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Algorithms for the exact solution to problems in linear algebra";"5";30000
"Suen, Ching CY";"Computer Science and Software Engineering";"Concordia";"RGPIN";"Error Reduction in Handwriting Recognition with Applications";"5";25000
"Taati, Babak B";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Vision-Based Evaluation of Mobility, Physical Health, and Rehabilitation Progress in Natural Settings";"5";20000
"Taylor, Graham GW";"Engineering, School of";"Guelph";"RGPIN";"Deep Learning and Representation Learning for Sequential Data";"5";25000
"Taylor, Graham GW";"Engineering, School of";"Guelph";"EQPEQ";"GPU infrastructure for large-scale machine learning";"1";93258
"Thorpe, Julie JK";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Towards Cognitive Aids For Stronger Computer Security";"5";15000
"Tip, Frank F";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Improving the Quality of Web Software";"5";36000
"Trajkovic, Ljiljana LJ";"Engineering Science, School of";"Simon Fraser";"RGPIN";"Information Routing in Complex Networks";"5";25000
"TRAN, THOMAS TT";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Modeling Trust in Open, Dynamic Multi-agent Systems and Developing Framework for Predicting Consumer-generated Reviews' Helpfulness";"5";20000
"Tropper, Carl C";"Computer Science, School of";"McGill";"RGPIN";"Parallel Simulation of Neurons";"5";20000
"Truong, Khai KN";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Tools to Support Local Community Participation and Development";"1";20000
"Tsantalis, Nikolaos N";"Computer Science and Software Engineering";"Concordia";"RGPIN";"A Framework for the Management of Preventive Maintenance";"5";20000
"Valtchev, Petko PG";"Informatique";"Quebec a Montreal";"RGPIN";"Pattern mining from linked data, methods, tools and applications";"5";20000
"Van Oorschot, Paul P";"Computer Science, School of";"Carleton";"RGPIN";"Topics in Authentication Technology and Computer Security";"5";44000
"Vargas Martin, Miguel M";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Towards New Security Paradigms for User Authentication and Traffic Inspection: Harnessing Implicit Mistakes and Auditory Sense";"5";15000
"Vaughan, Richard RT";"Computing Science, School of";"Simon Fraser";"EQPEQ";"HRI in the Sky: Command and Control of Teams of Flying Robots by Uninstrumented Operators";"1";60124
"Vavasis, Stephen SA";"Combinatorics and Optimization";"Waterloo";"RGPIN";"Theory and Applications of Nonnegative Matrix Factorization";"5";30000
"Vechtomova, Olga O";"Management Sciences";"Waterloo";"RGPIN";"Development and evaluation of information retrieval methods to support users with complex information needs";"5";20000
"Viktor, Herna HL";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Real-time Mining of Dynamic, Fast Evolving Data";"5";15000
"Vincent, Pascal P";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Leveraging the manifold hypothesis for learning representations in deep neural networks";"5";25000
"Vogel, Daniel DJ";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Subtle Interaction Techniques for Ubiquitous Displays";"5";20000
"Walker, Robert RJ";"Computer Science";"Calgary";"RGPIN";"The Best of Both Worlds: Reusable Software via Unplanned Reuse";"5";30000
"Wand, Yair YW";"Sauder School of Business";"British Columbia";"RGPIN";"Theory-Based Methods for Information Systems Analysis and Design";"5";15000
"Wang, Xin X";"Geomatics Engineering";"Calgary";"RGPIN";"Spatial clustering of spatial correlated data, multi-valued data, and domain-driven spatial clustering ensemble";"5";15000
"Wang, Yang Y";"Computer Science";"Manitoba";"RGPIN";"Understanding Humans in Images and Videos";"5";20000
"West, Robert L";"Cognitive Science, Institute of";"Carleton";"RGPIN";"Simulating Decision Making in Complex Sociotechnical Systems";"5";20000
"Wiese, Kay KC";"Computing Science, School of";"Simon Fraser";"RGPIN";"Computational Intelligence and Applications in Bioinformatics";"5";20000
"Williamson, Carey CL";"Computer Science";"Calgary";"RGPIN";"Internet Protocol and Application Performance";"5";44000
"Woo, Carson C";"Sauder School of Business";"British Columbia";"RGPIN";"Expanding Conceptual Modeling to Help Manage Changes in the Business";"5";15000
"Wu, Kui K";"Computer Science";"Victoria";"RGPIN";"A Calculus Approach for Stochastic Networks: From Communication Networks to Smart Grids to Internet Water Army";"5";25000
"Yang, Boting B";"Computer Science";"Regina";"RGPIN";"Pursuit Evasion and Related Problems";"5";20000
"Yuan, Ding D";"Electrical & Computer Engineering";"Toronto";"RGPIN";"Toward Automatic Failure Diagnosis in the Cloud";"5";20000
"Yuan, Yufei Y";"Business, DeGroote School of";"McMaster";"RGPIN";"Context-aware multiparty coordination system for emergency response";"5";25000
"Zaiane, Osmar OR";"Computing Science";"Alberta";"RGPIN";"Reinforcing pattern mining with uncertainty and connectivity";"5";25000
"Zhang, Kaizhong KZ";"Computer Science";"Western Ontario";"RGPIN";"Algorithms and software tools for mass spectrometry data analysis and RNA structure analysis";"5";44000
"Zheng, Rong RZ";"Computing and Software";"McMaster";"RGPIN";"A Sequential Learning Framework for Resource Management in Wireless Networks";"5";36000
"Zhu, Haibin H";"Computer Science";"Nipissing";"RGPIN";"Online Auction-Based Scheduling of Health Care Services for Outpatients";"5";15000
"Zhu, Ying Y";"Business and Information Technology, Faculty of";"Ontario Institute of Technology";"RGPIN";"Some practical ways of using smart mobile devices";"5";15000
"Zucker, Jeffery JI";"Computing and Software";"McMaster";"RGPIN";"Computation on many-sorted topological algebras: digital and analog paradigms";"5";15000
