"Name";"Deparment";"Institution";"Program";"Title";"Term";"amount"
"Keselj, Vlado V";"Computer Science, Faculty of";"Dalhousie";"RGPIN";"String-based and Unification-based Methodology for Text mining and Processing";"5";20000
"Khoury, Richard RE";"Software Engineering, Dept. of";"Lakehead";"RGPIN";"Microtext Processing";"5";15000
"Kiczales, Gregor J";"Computer Science";"British Columbia";"RGPIN";"Lightweight Language Abstractions";"5";30000
"Kienzle, Jorg JA";"Computer Science, School of";"McGill";"RGPIN";"Concern-Driven Software Development";"5";36000
"Krishnamurthy, Diwakar D";"Electrical and Computer Engineering";"Calgary";"RGPIN";"Performance evaluation and management of enterprise application systems";"5";20000
"Kry, Paul PG";"Computer Science, School of";"McGill";"RGPIN";"Physically Based Character Animation, Editing, Control, Deformation, and Contact";"5";36000
"Kumar, Vivekanandan S";"Computing & Information Systems, School of";"Athabasca";"RGPIN";"Self- and Co-Regulating Anthropomorphic Pedagogical Agents";"5";15000
"Kutulakos, Kiriakos KN";"Computer Science (St. George Campus)";"Toronto";"EQPEQ";"Computational and Optical Light Field Processing";"1";148152
"Lam, Patrick P";"Electrical & Computer Engineering";"Waterloo";"RGPIN";"Combining domain-specific and general-purpose languages to improve program analysis";"5";20000
"Lang, Jochen J";"Electrical Engineering and Computer Science , School of";"Ottawa";"EQPEQ";"A high-resolution omnidirectional video camera for computational photography";"1";26175
"Lang, Jochen J";"Electrical Engineering and Computer Science , School of";"Ottawa";"RGPIN";"Computational Photography for Capturing Virtual Environments";"5";15000
"Larson, Katherine KS";"Computer Science, David R. Cheriton School of";"Waterloo";"RGPIN";"Strategic Interactions in Multiagent Systems";"5";30000
"L'ECUYER, Pierre P";"Informatique et recherche operationnelle";"Montreal";"RGPIN";"Modeling and Simulation of Stochastic Systems";"5";52000
"LEE, WonSook W";"Electrical Engineering and Computer Science , School of";"Ottawa";"EQPEQ";"Functional Center of Rotation for Hip Joint";"1";25700
"Levesque, Hector HJ";"Computer Science (St. George Campus)";"Toronto";"RGPIN";"Representation and reasoning for autonomous agents";"5";36000
"Levine, Martin D";"Electrical and Computer Engineering";"McGill";"RGPIN";"Here's looking at you! Describing Spatio-Temporal Human Events";"5";25000
"Li, Kin KF";"Electrical and Computer Engineering";"Victoria";"RGPIN";"Infrastructures, methods, and tools for mining and analyzing personal behavior for innovative recommender and learning systems using hardware accelerators";"5";20000
"Lie, David DJ";"Electrical & Computer Engineering";"Toronto";"RGPIN";"An Information Flow Approach to Data Security";"5";30000
